id;id_commune;libelle_commune_min;libelle_commune_maj;id_departement;id_region;actual;epsg4326_lat;epsg4326_long;codes_postaux;id_commune_actuel
29178;26340;Séderon;SÉDERON;26;84;1;44.197545910353234; 5.554553848616856;26560;
29179;27032;Chambois;CHAMBOIS;27;28;1;48.90370125500229; 1.150740348210857;27240;
29180;27048;Beauficel-en-Lyons;BEAUFICEL-EN-LYONS;27;28;1;49.40462237057511; 1.52460622262967;27480;
29181;27069;Bois-Arnault;BOIS-ARNAULT;27;28;1;48.81636279730612; 0.7476034578426064;27250;
29182;27134;Cauverville-en-Roumois;CAUVERVILLE-EN-ROUMOIS;27;28;1;49.35565230369876; 0.6476559793919091;27350;
29183;27141;Champ-Dolent;CHAMP-DOLENT;27;28;1;48.95830468165086; 1.0087532941196866;27190;
29184;27155;Chennebrun;CHENNEBRUN;27;28;1;48.68411989242351; 0.7749248125190235;27820;
29185;27171;Le Cormier;LE CORMIER;27;28;1;48.9848637775923; 1.296712455647923;27120;
29186;27213;Vexin-sur-Epte;VEXIN-SUR-EPTE;27;28;1;49.180316745332135; 1.5816704005750852;27510-27420-27630;
29187;32252;Miélan;MIÉLAN;32;76;1;43.42898034283695; 0.31067238455641044;32170;
29188;32262;Monbrun;MONBRUN;32;76;1;43.66525965491151; 1.0310734418139904;32600;
29189;32308;Pébées;PÉBÉES;32;76;1;43.46048784889817; 1.026044503534039;32130;
29190;32317;Peyrusse-Vieille;PEYRUSSE-VIEILLE;32;76;1;43.627708342282155; 0.17560889432582513;32230;
29191;32394;Saint-Médard;SAINT-MÉDARD;32;76;1;43.4841906579466; 0.46224080668987916;32300;
29192;32407;Saint-Soulan;SAINT-SOULAN;32;76;1;43.50848451814685; 0.8603262649438727;32220;
29193;32432;Seysses-Savès;SEYSSES-SAVÈS;32;76;1;43.511765883960905; 1.0456091835651176;32130;
29194;32434;Sion;SION;32;76;1;43.73845452801951; 0.006788358028082024;32110;
29195;32445;Tieste-Uragnoux;TIESTE-URAGNOUX;32;76;1;43.55236039330799; 0.03227800414748954;32160;
29196;32448;Touget;TOUGET;32;76;1;43.686775388304156; 0.9182402341281583;32430;
29197;33003;Ambarès-et-Lagrave;AMBARÈS-ET-LAGRAVE;33;75;1;44.94431969137493; -0.5008348441752248;33440;
29198;33035;Bayon-sur-Gironde;BAYON-SUR-GIRONDE;33;75;1;45.05516894156695; -0.5978364715283436;33710;
29199;33043;Bellebat;BELLEBAT;33;75;1;44.739155364760165; -0.22249391338440305;33760;
29200;33058;Blaye;BLAYE;33;75;1;45.12854516145108; -0.6564432854517076;33390;
29201;33059;Blésignac;BLÉSIGNAC;33;75;1;44.77714950599256; -0.2552556609820617;33670;
29202;33102;Casseuil;CASSEUIL;33;75;1;44.5882987619532; -0.1186012589938983;33190;
29203;33123;Cézac;CÉZAC;33;75;1;45.085438800585386; -0.430481938369904;33620;
29204;33132;Comps;COMPS;33;75;1;45.0666466525875; -0.5942259345634398;33710;
29205;33180;Gans;GANS;33;75;1;44.454164323011994; -0.13152608165853458;33430;
29206;33262;Macau;MACAU;33;75;1;45.002030970114596; -0.6156508614044135;33460;
29207;33297;Moulis-en-Médoc;MOULIS-EN-MÉDOC;33;75;1;45.05253472455832; -0.7862674339378483;33480;
29208;33304;Neuffons;NEUFFONS;33;75;1;44.64808369510036; 0.011413593708071422;33580;
29209;33316;Pellegrue;PELLEGRUE;33;75;1;44.738113360569606; 0.09537341515855095;33790;
29210;33325;Plassac;PLASSAC;33;75;1;45.10401489256081; -0.6303596871877251;33390;
29211;33339;Prignac-et-Marcamps;PRIGNAC-ET-MARCAMPS;33;75;1;45.02505697431845; -0.49605539042616087;33710;
29212;33376;Saint-Aubin-de-Médoc;SAINT-AUBIN-DE-MÉDOC;33;75;1;44.93333502109215; -0.7483000460713753;33160;
29213;33378;Saint-Avit-Saint-Nazaire;SAINT-AVIT-SAINT-NAZAIRE;33;75;1;44.84811490028906; 0.2751072955049026;33220;
29214;33401;Sainte-Florence;SAINTE-FLORENCE;33;75;1;44.81714607001903; -0.09215788659527858;33350;
29215;33409;Saint-Genis-du-Bois;SAINT-GENIS-DU-BOIS;33;75;1;44.69985278722746; -0.18354128093831373;33760;
